date,total_kl,temp_mean,temp_max,rainfall_mm,is_weekend,is_holiday,occupancy_mean,day_of_week,month,prev_day_kl,rolling7_kl
2024-06-17,626.628,33.06875,38.6,106.8,0,0,0.6936458333333334,0,6,446.162,572.1397142857143
2024-06-18,627.563,33.389583333333334,37.6,161.2,0,0,0.7085416666666666,1,6,626.628,572.1342857142856
2024-06-19,618.744,33.125,36.8,164.1,0,0,0.7028125,2,6,627.563,573.0178571428571
2024-06-20,621.953,32.96875,36.6,157.9,0,0,0.7133333333333334,3,6,618.744,572.2751428571429
2024-06-21,622.974,33.33020833333333,38.0,156.7,0,0,0.6930208333333333,4,6,621.953,571.6301428571429
2024-06-22,449.039,33.140625,36.4,129.5,1,0,0.0,5,6,622.974,572.3688571428572
2024-06-23,440.903,33.20729166666667,36.5,153.79999999999998,1,0,0.0,6,6,449.039,573.2947142857143
2024-06-24,632.754,33.128125000000004,36.0,122.6,0,0,0.6877083333333333,0,6,440.903,572.5434285714285
2024-06-25,616.235,33.28333333333333,36.5,128.4,0,0,0.6973958333333333,1,6,632.754,573.4185714285715
2024-06-26,630.493,33.07083333333333,36.9,107.8,0,0,0.6955208333333333,2,6,616.235,571.8002857142858
2024-06-27,629.182,33.28333333333333,37.8,129.2,0,0,0.7019791666666667,3,6,630.493,573.4787142857143
2024-06-28,620.289,33.12083333333333,36.8,215.1,0,0,0.6951041666666667,4,6,629.182,574.5114285714286
2024-06-29,450.741,33.190625,37.0,112.7,1,0,0.0,5,6,620.289,574.1278571428571
2024-06-30,452.764,33.153124999999996,36.9,94.5,1,0,0.0,6,6,450.741,574.371
2024-07-01,627.683,34.39479166666667,38.4,89.1,0,0,0.7009375000000001,0,7,452.764,576.0654285714286
2024-07-02,634.732,33.784375000000004,39.9,71.0,0,0,0.7008333333333333,1,7,627.683,575.341
2024-07-03,631.698,34.053125,38.4,77.1,0,0,0.6997916666666667,2,7,634.732,577.9834285714286
2024-07-04,631.666,34.028124999999996,37.7,123.39999999999999,0,0,0.7033333333333333,3,7,631.698,578.1555714285714
2024-07-05,628.967,34.206250000000004,38.7,63.5,0,0,0.7086458333333333,4,7,631.666,578.5104285714286
2024-07-06,454.802,34.05520833333333,36.7,126.10000000000001,1,0,0.0,5,7,628.967,579.7501428571429
2024-07-07,449.16,34.206250000000004,37.3,140.8,1,0,0.0,6,7,454.802,580.3302857142857
2024-07-08,620.915,34.24583333333333,37.8,118.3,0,0,0.6964583333333333,0,7,449.16,579.8154285714286
2024-07-09,633.233,34.01979166666667,38.1,134.6,0,0,0.689375,1,7,620.915,578.8485714285714
2024-07-10,625.874,34.05416666666667,39.1,44.4,0,0,0.699375,2,7,633.233,578.6344285714285
2024-07-11,629.408,33.64270833333333,38.7,133.2,0,0,0.695,3,7,625.874,577.8024285714285
2024-07-12,624.776,33.83229166666667,37.0,131.4,0,0,0.6989583333333332,4,7,629.408,577.4798571428571
2024-07-13,447.604,34.20520833333333,37.5,83.39999999999999,1,0,0.0,5,7,624.776,576.8811428571428
2024-07-14,451.075,34.098958333333336,37.8,94.4,1,0,0.0,6,7,447.604,575.8528571428571
2024-07-15,626.65,33.98229166666667,37.6,78.5,0,0,0.6926041666666666,0,7,451.075,576.1264285714285
2024-07-16,625.768,34.186458333333334,39.8,117.0,0,0,0.6926041666666666,1,7,626.65,576.9457142857143
2024-07-17,621.644,34.04479166666667,37.5,133.8,0,0,0.7023958333333334,2,7,625.768,575.8792857142856
2024-07-18,632.991,33.829166666666666,36.3,39.5,0,0,0.7052083333333333,3,7,621.644,575.275
2024-07-19,628.356,34.208333333333336,37.6,74.5,0,0,0.6997916666666667,4,7,632.991,575.7868571428571
2024-07-20,446.925,34.108333333333334,37.8,59.8,1,0,0.0,5,7,628.356,576.2982857142857
2024-07-21,441.041,33.884375,37.4,134.2,1,0,0.0,6,7,446.925,576.2012857142857
2024-07-22,618.38,34.06041666666667,37.6,145.8,0,0,0.6988541666666667,0,7,441.041,574.7678571428571
2024-07-23,632.793,33.91041666666667,37.7,95.2,0,0,0.7033333333333333,1,7,618.38,573.5864285714287
2024-07-24,626.822,34.0625,37.7,165.7,0,0,0.7044791666666667,2,7,632.793,574.59
2024-07-25,628.302,34.098958333333336,37.3,64.0,0,0,0.7047916666666666,3,7,626.822,575.3297142857143
2024-07-26,629.092,33.8125,37.5,75.5,0,0,0.6992708333333333,4,7,628.302,574.6598571428572
2024-07-27,458.889,34.08020833333333,37.7,108.7,1,0,0.0,5,7,629.092,574.765
2024-07-28,454.08799999999997,34.003125000000004,37.5,107.5,1,0,0.0,6,7,458.889,576.4741428571429
2024-07-29,625.158,33.989583333333336,37.0,65.1,0,0,0.696875,0,7,454.08799999999997,578.338
2024-07-30,631.018,33.8125,36.8,77.6,0,0,0.6978125,1,7,625.158,579.3062857142857
2024-07-31,626.521,33.947916666666664,39.1,166.4,0,0,0.7044791666666667,2,7,631.018,579.0527142857143
2024-08-01,621.618,33.38645833333333,37.2,119.2,0,0,0.6994791666666668,3,8,626.521,579.0097142857143
2024-08-02,629.818,33.46875,37.9,123.2,0,0,0.6942708333333334,4,8,621.618,578.0548571428571
2024-08-03,445.887,32.909375000000004,36.1,104.9,1,0,0.0,5,8,629.818,578.1585714285715
2024-08-04,445.58,33.192708333333336,37.6,52.4,1,0,0.0,6,8,445.887,576.3011428571428
2024-08-05,622.6899999999999,32.853125,36.4,103.2,0,0,0.698125,0,8,445.58,575.0857142857143
2024-08-06,630.888,33.28333333333333,37.4,105.8,0,0,0.7092708333333334,1,8,622.6899999999999,574.7331428571429
2024-08-07,624.165,32.92916666666667,36.5,90.5,0,0,0.700625,2,8,630.888,574.7145714285714
2024-08-08,615.937,33.07395833333333,36.3,154.1,0,0,0.7013541666666666,3,8,624.165,574.3779999999999
2024-08-09,623.283,33.21875,36.9,102.60000000000001,0,0,0.69625,4,8,615.937,573.5664285714286
2024-08-10,446.801,33.356249999999996,36.6,81.3,1,0,0.0,5,8,623.283,572.6328571428572
2024-08-11,442.749,33.248958333333334,36.5,143.3,1,0,0.0,6,8,446.801,572.7634285714286
2024-08-12,622.756,33.109375,36.9,160.9,0,0,0.6996875,0,8,442.749,572.359
2024-08-13,624.709,32.96041666666667,36.7,85.30000000000001,0,0,0.6957291666666667,1,8,622.756,572.3684285714286
2024-08-14,626.226,33.17916666666667,37.4,125.8,0,0,0.694375,2,8,624.709,571.4857142857143
2024-08-15,623.634,33.458333333333336,36.9,130.2,0,0,0.6983333333333334,3,8,626.226,571.7801428571429
2024-08-16,627.695,33.26979166666667,35.9,93.3,0,0,0.6923958333333333,4,8,623.634,572.8797142857144
2024-08-17,441.051,33.161458333333336,37.3,105.5,1,0,0.0,5,8,627.695,573.51
2024-08-18,450.353,33.239583333333336,36.7,119.0,1,0,0.0,6,8,441.051,572.6885714285714
2024-08-19,625.517,33.13333333333333,37.2,45.5,0,0,0.7096874999999999,0,8,450.353,573.7748571428572
2024-08-20,622.286,32.82395833333333,36.5,257.6,0,0,0.7003125,1,8,625.517,574.1692857142857
2024-08-21,627.415,33.18958333333333,36.9,85.4,0,0,0.6998958333333333,2,8,622.286,573.8231428571428
2024-08-22,634.507,33.415625,36.6,37.4,0,0,0.7080208333333333,3,8,627.415,573.993
2024-08-23,631.023,33.35729166666667,36.7,93.5,0,0,0.6953125,4,8,634.507,575.5462857142858
2024-08-24,444.028,33.11354166666667,37.0,58.099999999999994,1,0,0.0,5,8,631.023,576.0217142857143
2024-08-25,435.478,33.072916666666664,36.3,165.70000000000002,1,0,0.0,6,8,444.028,576.447
2024-08-26,630.182,33.34166666666667,36.6,56.6,0,0,0.7022916666666666,0,8,435.478,574.322
2024-08-27,622.928,33.215624999999996,36.5,84.9,0,0,0.7030208333333333,1,8,630.182,574.9884285714286
2024-08-28,612.91,32.969791666666666,36.0,127.6,0,0,0.7005208333333334,2,8,622.928,575.0801428571428
2024-08-29,622.158,33.1875,36.5,117.4,0,0,0.6994791666666668,3,8,612.91,573.0079999999999
2024-08-30,615.323,33.28958333333333,38.6,219.7,0,0,0.7064583333333333,4,8,622.158,571.2438571428572
2024-08-31,441.684,33.409375000000004,37.9,62.5,1,0,0.0,5,8,615.323,569.001
2024-09-01,442.894,31.119791666666668,34.3,157.7,1,0,0.0,6,9,441.684,568.666142857143
2024-09-02,619.608,30.952083333333334,34.3,90.3,0,0,0.7002083333333333,0,9,442.894,569.7255714285715
2024-09-03,619.082,30.710416666666664,33.8,53.9,0,0,0.7017708333333333,1,9,619.608,568.215
2024-09-04,613.73,31.073958333333334,34.6,108.39999999999999,0,0,0.7010416666666667,2,9,619.082,567.6655714285714
2024-09-05,617.136,31.242708333333336,34.5,196.79999999999998,0,0,0.696875,3,9,613.73,567.7827142857143
2024-09-06,613.348,30.898958333333336,34.4,125.2,0,0,0.7010416666666667,4,9,617.136,567.0652857142857
2024-09-07,443.383,31.082291666666666,34.6,162.0,1,0,0.0,5,9,613.348,566.7831428571428
2024-09-08,444.764,31.121875,34.2,153.7,1,0,0.0,6,9,443.383,567.025857142857
2024-09-09,617.806,30.880208333333332,33.1,125.0,0,0,0.6961458333333334,0,9,444.764,567.293
2024-09-10,616.854,31.264583333333334,35.2,173.0,0,0,0.7003125,1,9,617.806,567.0355714285714
2024-09-11,612.814,30.85729166666667,34.2,132.5,0,0,0.6940624999999999,2,9,616.854,566.7172857142857
2024-09-12,622.673,30.900000000000002,35.2,128.5,0,0,0.7004166666666666,3,9,612.814,566.5864285714285
2024-09-13,625.211,31.317708333333332,34.5,133.2,0,0,0.6998958333333333,4,9,622.673,567.3774285714286
2024-09-14,442.291,30.834374999999998,34.0,172.8,1,0,0.0,5,9,625.211,569.0721428571429
2024-09-15,443.388,30.998958333333334,34.8,145.8,1,0,0.0,6,9,442.291,568.9161428571429
2024-09-16,611.63,31.123958333333334,35.7,117.2,0,0,0.7097916666666667,0,9,443.388,568.7195714285715
2024-09-17,626.968,30.855208333333334,35.0,74.8,0,0,0.7012499999999999,1,9,611.63,567.8372857142857
